strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,2022 Return,2023+ CAGR,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,TQQQ Days Share,Raw Gate True Share,Gate Active Share,Gate Flips/Year,family,overlay,overlay_description,idle_asset,entry_confirm_days,exit_confirm_days,income_mode,safe_haven_symbols
hybrid_tqqq::ma_stack_rsi_macd::cash,hybrid_tqqq::ma_stack_rsi_macd::cash,10.0,Full Sample,2018-01-02,2026-04-02,0.043956679293974954,0.005230204446396547,-0.34201229314102777,0.1784007753003804,0.11973701647365086,0.2603218931474551,-0.029092805637409607,-0.7089376666758255,0.24647102993628278,0.384758384493884,9.040293170053603,-0.07373502329498105,-0.029411155501021358,0.1879360535115721,0.8120639464884281,0.8120639464884281,0.25940212150433944,0.29893924783027964,0.30327868852459017,14.30926294820717,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,CASH,2,2,attack_only,"('BOXX', 'CASH', 'CASH')"
hybrid_tqqq::ma_stack_rsi_macd::cash,hybrid_tqqq::ma_stack_rsi_macd::cash,10.0,2018-2021,2018-01-02,2021-12-31,0.2416789387003837,0.05568547378841493,-0.3362232364829161,0.1885912392942069,0.3830664201167732,0.27613489668748975,-0.0014675933269782566,-0.7804319834401546,0.3583110205621777,0.50214610436523,9.165388152347257,,,0.20517628002922314,0.7948237199707769,0.7948237199707769,0.2777777777777778,0.3472222222222222,0.3482142857142857,15.27090472926662,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,CASH,2,2,attack_only,"('BOXX', 'CASH', 'CASH')"
hybrid_tqqq::ma_stack_rsi_macd::cash,hybrid_tqqq::ma_stack_rsi_macd::cash,10.0,2022,2022-01-03,2022-12-30,-0.07373502329498105,-0.07456989783627055,-0.09248241254602518,0.07441237001384088,-0.9946685231395676,0.02420870266691401,-0.06568928645588487,0.8390040067232701,0.0,0.11893785035808087,0.7242601252313328,-0.07373502329498105,,0.005703846466749264,0.9942961535332508,0.9942961535332508,0.00796812749003984,0.07569721115537849,0.0796812749003984,5.058864265927978,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,CASH,2,2,attack_only,"('BOXX', 'CASH', 'CASH')"
hybrid_tqqq::ma_stack_rsi_macd::cash,hybrid_tqqq::ma_stack_rsi_macd::cash,10.0,2023+,2023-01-03,2026-04-02,-0.09230922962039345,-0.029411155501021358,-0.3158363999928636,0.18780218861122228,-0.06494176963107325,0.4216325606682935,-0.12561105976955433,-1.381210782577157,0.14841602091659636,0.6415702470885886,11.47308338288464,,-0.029411155501021358,0.2227362199391283,0.7772637800608716,0.7772637800608716,0.3141104294478528,0.3079754601226994,0.3165644171779141,16.027848101265825,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,CASH,2,2,attack_only,"('BOXX', 'CASH', 'CASH')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,0.0,Full Sample,2018-01-02,2026-04-02,0.2687282776891191,0.029283449369827075,-0.33424666552286675,0.17712699891487457,0.2530626187498137,0.2585927368060083,-0.0052946256047778,-0.6138101388415994,0.2874389815170255,0.34377637959211543,8.951527974716594,-0.07245530661567678,0.01873098181268018,0.18636558748759038,0.7636344125124095,0.05000000000000001,0.25940212150433944,0.29893924783027964,0.30327868852459017,14.30926294820717,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,0.0,2018-2021,2018-01-02,2021-12-31,0.2879110340607576,0.06539124585427136,-0.33424666552286675,0.18865899062293343,0.4314441207006368,0.2763522411696632,0.0076272308533664734,-0.7437447199878966,0.37655008529270606,0.49069160474056184,9.177905287371248,,,0.20517628002922314,0.7448237199707768,0.05,0.2777777777777778,0.3472222222222222,0.3482142857142857,15.27090472926662,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,0.0,2022,2022-01-03,2022-12-30,-0.07245530661567678,-0.07327627175685647,-0.09183231639233824,0.07441630934257697,-0.975990585999537,0.0242529786260085,-0.06428803333413499,0.8433469213318361,0.0,0.11679525642478213,0.7242601252313328,-0.07245530661567678,,0.005703846466749264,0.9442961535332508,0.05,0.00796812749003984,0.07569721115537849,0.0796812749003984,5.058864265927978,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,0.0,2023+,2023-01-03,2026-04-02,0.062057207413663384,0.01873098181268018,-0.25939431002226654,0.18463470323915476,0.19370692616005145,0.414395324811957,-0.07570308993161694,-1.1541380967187,0.22947415873804194,0.48115370795845824,11.232051088914108,,0.01873098181268018,0.21873972112472573,0.7312602788752742,0.05,0.3141104294478528,0.3079754601226994,0.3165644171779141,16.027848101265825,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,5.0,Full Sample,2018-01-02,2026-04-02,0.22274061917465104,0.02468550657734725,-0.33523550538128977,0.1771345734207042,0.22773432341568522,0.25863033613974,-0.009786512840722178,-0.632294497808956,0.2784706909081133,0.34941908094898727,8.951527974716594,-0.07278729004143925,0.013012767476063836,0.18636558748759038,0.7636344125124095,0.05000000000000001,0.25940212150433944,0.29893924783027964,0.30327868852459017,14.30926294820717,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
hybrid_tqqq::ma_stack_rsi_macd::boxx,hybrid_tqqq::ma_stack_rsi_macd::boxx,5.0,2018-2021,2018-01-02,2021-12-31,0.26455633929620803,0.060521506392614555,-0.33523550538128977,0.18862090763517395,0.4072355635159466,0.276242660549484,0.0030738112429974512,-0.7621224922610881,0.3674130951026685,0.4964199839534901,9.177905287371248,,,0.20517628002922314,0.7448237199707768,0.05,0.2777777777777778,0.3472222222222222,0.3482142857142857,15.27090472926662,hybrid_growth_tqqq_attack_only,ma_stack_rsi_macd,MA20/MA60 stack plus RSI14 > 55 and MACD line above signal.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
