strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,2022 Return,2023+ CAGR,family,throttle,throttle_description,idle_asset
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,0.0,2018-2021,2018-01-02,2021-12-31,3.464273495293325,0.4543213110723172,-0.49936213570489874,1.135042683344891,1.5372294790830927,0.04597340374397964,0.9706877610531691,1.7696676699527718,1.852485467089789,1.5125477559954965,0.40351837510055805,0.546481624899442,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,0.0,2022,2022-01-03,2022-12-30,-0.3875967515463894,-0.391121962273268,-0.4128289360544629,-1.3755276251987911,0.9831469444678318,-0.10228701861822723,-1.7499627884351496,0.9513806559118678,1.114955328967509,0.5058864265927977,0.027191235059760958,0.922808764940239,0.05,-0.3875967515463894,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,0.0,2023+,2023-01-03,2026-04-02,1.8923223138462015,0.38729580848839285,-0.3207186081635566,1.1489982252712874,1.6248580708194817,-0.05230070983447603,0.7551286586194976,1.6700408189917648,2.2821760836422347,1.1420131080867713,0.45613414331643376,0.49386585668356636,0.05,,0.38729580848839285,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,5.0,Full Sample,2018-01-02,2026-04-02,6.866659629662785,0.2841860989064324,-0.4998269020621747,0.8672078111727172,1.439676373836195,0.04002328730190734,0.7465345099551489,1.6601550196418426,1.663822269550343,1.2426021610492208,0.3786503610917339,0.5713496389082661,0.05000000000000001,-0.38775217486285474,0.3865033212434974,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,5.0,2018-2021,2018-01-02,2021-12-31,3.450630490813416,0.45320739463332105,-0.4998269020621747,1.13310509412633,1.5372711921313038,0.04520703040338194,0.9666660508336328,1.7684156761609076,1.8540824630214523,1.5125477559954965,0.40351837510055805,0.546481624899442,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,5.0,2022,2022-01-03,2022-12-30,-0.38775217486285474,-0.3912783099273449,-0.4129779556331823,-1.376269812068425,0.9831636726507397,-0.10253226113580564,-1.7537162377036373,0.9513806559118678,1.1152887787301657,0.5058864265927977,0.027191235059760958,0.922808764940239,0.05,-0.38775217486285474,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,5.0,2023+,2023-01-03,2026-04-02,1.8869653391157302,0.3865033212434974,-0.32111996059789283,1.1472778173071922,1.624867668110731,-0.05287610346492358,0.7513739398647076,1.6693523702976065,2.284970142175071,1.1420131080867713,0.45613414331643376,0.49386585668356636,0.05,,0.3865033212434974,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,10.0,Full Sample,2018-01-02,2026-04-02,6.826099020410522,0.2833813447201059,-0.5002913330153733,0.8654851005910786,1.439701891205949,0.03939581404041042,0.7427356649824411,1.6592282243136047,1.6651957503678487,1.2426021610492208,0.3786503610917339,0.5713496389082661,0.05000000000000001,-0.3879075811360677,0.3857111539677638,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,10.0,2018-2021,2018-01-02,2021-12-31,3.4370264898963683,0.4520941109916876,-0.5002913330153733,1.1311667135887884,1.5373129051795151,0.0444406570627842,0.9626420188527944,1.7671638127755038,1.8556787076429673,1.5125477559954965,0.40351837510055805,0.546481624899442,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,10.0,2022,2022-01-03,2022-12-30,-0.3879075811360677,-0.39143463996962335,-0.4131269588708635,-1.3770114885179843,0.9831804008336477,-0.10277750365338398,-1.7574465836564412,0.9513806559118678,1.1156221919277272,0.5058864265927977,0.027191235059760958,0.922808764940239,0.05,-0.3879075811360677,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
